date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:51	306964/306964	---M--	200	added ('OK')	text/html	etag:%2218d751374201143a07c6a4058bcfc96d%22	https://espacoandara.kpages.online/cadernodeatividades	C:/Meus%20Sites/estimulos/espacoandara.kpages.online/cadernodeatividades.html	(from )
11:24:52	918/918	---M--	404	error ('Not%20Found')	text/html	etag:%2285fec89595243299c6feece7452895eb%22	https://espacoandara.kpages.online/robots.txt		(from )
11:24:52	52676/52676	---M--	200	added ('OK')	image/webp	etag:%2246f28558ab7d9552f4b2ea6824d702e1f3e80fa7%22	https://static-media.hotmart.com/45qOFahtOEk4npmH9P64UDnIH4E=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444496/cpia_de_destaques__(1080_x_1080_px).png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/45qOFahtOEk4npmH9P64UDnIH4E=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444496/cpia_de_destaques__(1080_x_1080_px).png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:52	32848/32848	---M--	200	added ('OK')	image/webp	etag:%22a4f53e1ead10bd44b299747d3d50280505d295f3%22	https://static-media.hotmart.com/ToG0PgjuBWxAW3QNX_Heo8E1UzU=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444324/2.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/ToG0PgjuBWxAW3QNX_Heo8E1UzU=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444324/2.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:53	26634/26634	---M--	200	added ('OK')	image/webp	etag:%220b3d08f6bfea17c3bfbdaf7c2602351cacd7018a%22	https://static-media.hotmart.com/ZVCNJ-PVHkMztXR3Ko4jLIjA2SI=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444320/1.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/ZVCNJ-PVHkMztXR3Ko4jLIjA2SI=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444320/1.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:53	28546/28546	---M--	200	added ('OK')	image/webp	etag:%22ddd54a8f7644db415393ee88baf0695d0fee15eb%22	https://static-media.hotmart.com/G8zyrRFpy4L-Jnn6KWpxwFmbC_0=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444321/4.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/G8zyrRFpy4L-Jnn6KWpxwFmbC_0=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444321/4.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:53	20230/20230	---M--	200	added ('OK')	image/webp	etag:%22ea10619f2519e1d877b2c37ad1bd00e22907a054%22	https://static-media.hotmart.com/cb9LloCcy9ohLaijDTttFKb-yto=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444322/3.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/cb9LloCcy9ohLaijDTttFKb-yto=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444322/3.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:53	20810/20810	---M--	200	added ('OK')	image/webp	etag:%22b401d19c15dedaef9be7c1f78f6cf0de00744fe9%22	https://static-media.hotmart.com/UdIJnJi4HkRgrRW_bqrOOd3M_YQ=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444323/6.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/UdIJnJi4HkRgrRW_bqrOOd3M_YQ=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444323/6.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:53	33464/33464	---M--	200	added ('OK')	image/webp	etag:%22c6b3fbf8ff4e6b888c3ee8f7632d048849cf3342%22	https://static-media.hotmart.com/adVR_UAiakunKHcUdVlNfPsUcKw=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/7444325/5.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/adVR_UAiakunKHcUdVlNfPsUcKw=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/7444325/5.png	(from https://espacoandara.kpages.online/cadernodeatividades)
11:24:54	8316/8316	---M--	200	added ('OK')	image/webp	etag:%22cd7a3a1b3ddf1f75011d94bbae82bae9bd187a95%22	https://static-media.hotmart.com/M-Wpmr6vyJEHUOqVSPdp9Rd69e4=/filters:quality(1):format(webp)/klickart-prod/uploads/media/file/5321023/pagamento-vendas_assets_template-orange-chic.png	C:/Meus%20Sites/estimulos/static-media.hotmart.com/M-Wpmr6vyJEHUOqVSPdp9Rd69e4=/filters_quality(1)_format(webp)/klickart-prod/uploads/media/file/5321023/pagamento-vendas_assets_template-orange-chic.png	(from https://espacoandara.kpages.online/cadernodeatividades)
